"Comp","In","Type","Date","Round","Match","Score","Tries","Points","Adv","Time","Adv"
"S12","SAF",NA,"Sat, 28 Mar 1998","5","Bulls v Brumbies","24-7","4:1","5-0","Brakpan",NA,"13+"
"S12","NZL",NA,"Sat, 28 Mar 1998","5","Highlanders v Lions","57-27","8:4","5-1","Dunedin",NA,"13+"
"S12","NZL",NA,"Fri, 27 Mar 1998","5","Crusaders v Blues","24-31","2:4","1-5","Christchurch",NA,"-12"
"S12","NZL",NA,"Sun, 22 Mar 1998","4","Hurricanes v Reds","33-41","4:5","1-5","Wellington",NA,"-12"
"S12","SAF",NA,"Sat, 21 Mar 1998","4","Bulls v Waratahs","34-19","3:1","4-0","Witbank",NA,"13+"
"S12","AUS",NA,"Sat, 21 Mar 1998","4","Brumbies v Lions","37-3","4:0","5-0","Canberra",NA,"13+"
"S12","NZL",NA,"Sat, 21 Mar 1998","4","Blues v Chiefs","25-23","1:2","4-1","Auckland",NA,"-12"
"S12","NZL",NA,"Fri, 20 Mar 1998","4","Highlanders v Sharks","41-35","5:5","5-2","Dunedin",NA,"-12"
"S12","SAF",NA,"Sat, 14 Mar 1998","3","Stormers v Bulls","35-18","4:2","5-0","Cape Town",NA,"13+"
"S12","AUS",NA,"Sat, 14 Mar 1998","3","Reds v Crusaders","35-9","5:0","5-0","Brisbane",NA,"13+"
"S12","AUS",NA,"Sat, 14 Mar 1998","3","Brumbies v Sharks","23-41","3:6","0-5","Canberra",NA,"13+"
"S12","NZL",NA,"Sat, 14 Mar 1998","3","Blues v Highlanders","41-22","5:1","5-0","Auckland",NA,"13+"
"S12","AUS",NA,"Fri, 13 Mar 1998","3","Waratahs v Lions","25-10","3:1","4-0","Sydney",NA,"13+"
"S12","NZL",NA,"Fri, 13 Mar 1998","3","Chiefs v Hurricanes","19-22","2:4","1-5","Hamilton",NA,"-12"
"S12","SAF",NA,"Sat, 07 Mar 1998","2","Lions v Blues","37-38","5:5","2-5","Johannesburg",NA,"-12"
"S12","SAF",NA,"Sat, 07 Mar 1998","2","Sharks v Stormers","32-17","4:2","5-0","Durban",NA,"13+"
"S12","AUS",NA,"Sat, 07 Mar 1998","2","Reds v Chiefs","25-28","3:3","1-4","Brisbane",NA,"-12"
"S12","SAF",NA,"Fri, 06 Mar 1998","2","Bulls v Hurricanes","19-37","3:4","0-5","Pretoria",NA,"13+"
"S12","AUS",NA,"Fri, 06 Mar 1998","2","Brumbies v Highlanders","34-26","5:2","5-0","Canberra",NA,"-12"
"S12","NZL",NA,"Fri, 06 Mar 1998","2","Crusaders v Waratahs","33-12","3:0","4-0","Christchurch",NA,"13+"
"S12","SAF",NA,"Sat, 28 Feb 1998","1","Sharks v Blues","24-8","3:1","4-0","Durban",NA,"13+"
"S12","SAF",NA,"Sat, 28 Feb 1998","1","Bulls v Lions","32-39","4:5","2-5","Pretoria",NA,"-12"
"S12","NZL",NA,"Sat, 28 Feb 1998","1","Chiefs v Crusaders","25-23","2:4","4-2","Albany",NA,"-12"
"S12","SAF",NA,"Fri, 27 Feb 1998","1","Stormers v Hurricanes","31-45","4:5","1-5","Cape Town",NA,"13+"
"S12","NZL",NA,"Fri, 27 Feb 1998","1","Highlanders v Reds","26-19","1:3","4-1","Dunedin",NA,"-12"
"S12","AUS",NA,"Sun, 01 Mar 1998","1","Waratahs v Brumbies","32-7","4:1","5-0","Sydney",NA,"13+"
"S12","NZL",NA,"Sun, 30 May 1999","Final","Highlanders v Crusaders","19-24","2:2","1-4","Dunedin",NA,"-12"
"S12","SAF",NA,"Sun, 23 May 1999","Semi","Stormers v Highlanders","18-33","2:4","0-5","Cape Town",NA,"13+"
"S12","AUS",NA,"Sat, 22 May 1999","Semi","Reds v Crusaders","22-28","1:4","1-5","Brisbane",NA,"-12"
"S12","SAF",NA,"Sat, 15 May 1999","12","Stormers v Lions","16-18","1:2","1-4","Cape Town",NA,"-12"
"S12","AUS",NA,"Sat, 15 May 1999","12","Waratahs v Crusaders","22-38","4:4","1-5","Sydney",NA,"13+"
"S12","NZL",NA,"Sat, 15 May 1999","12","Hurricanes v Highlanders","21-19","3:2","4-1","Wellington",NA,"-12"
"S12","SAF",NA,"Fri, 14 May 1999","12","Bulls v Chiefs","31-39","3:5","0-5","Pretoria",NA,"-12"
